V1,V2
good,great
house,home
selection,variety
thing,item
carry,offer
look,find
furnish,decorate
choice,variety
range,variety
purchase,buy
taste,style
design,style
accessory,decoration
type,variety
household,home
fit,match
hang,decorate
attractive,beautiful
multiple,many
trend,style
stock,merchandise
pretty,nice
apparel,outfit
hip,trendy
interior,home
care,attention
chance,possibility
realize,recognize
complete,entire
versatile,functional
huge,large
robe,clothe
exist,live
serve,provide
background,environment
fashionable,stylish
different,variety
diversity,variety
whim,fancy
uncertain,unsure
individual,unique
woman,girl
cushion,pillow
pick,choose
meet,find
upgrade,improve
relax,ease
little,small
vary,change
neat,nice
plan,scheme
whole,everything
apartment,room
classy,stylish
represent,show
everybody,everyone
business,company
apply,use
include,add
duplicate,double
contemporary,modern
practical,everyday
slim,thin
necessary,essential
enjoy,like
many,lot
stuff,item
large,wide
hudson,bay
hudsons,bay
